state,x,y
Alabama,125,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,42,-53
California,-310,13
Colorado,-140,20
Connecticut,287,80
Delaware,275,42
Florida,200,-145
Georgia,180,-85
Hawaii,-317,-143
Idaho,-216,122
Illinois,80,37
Indiana,125,39
Iowa,38,65
Kansas,-27,5
Kentucky,149,1
Louisiana,40,-114
Maine,319,164
Maryland,250,35
Massachusetts,300,107
Michigan,125,101
Minnesota,10,135
Mississippi,80,-85
Missouri,38,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-148,-43
New York,236,104
North Carolina,210,-22
North Dakota,-65,158
Ohio,176,52
Oklahoma,-18,-41
Oregon,-278,138
Pennsylvania,220,72
Rhode Island,300,94
South Carolina,200,-61
South Dakota,-65,109
Tennessee,120,-34
Texas,-38,-106
Utah,-189,34
Vermont,275,120
Virginia,222,6
Washington,-280,183
West Virginia,200,20
Wisconsin,68,113
Wyoming,-134,90
